name,stars_count,forks_count,watchers,pull_requests,primary_language,languages_used,commit_count,created_at,licence
ExoPlayer,20289,5869,856,1158,Java,"['Java', 'C++', 'Shell', 'GLSL', 'Makefile', 'CMake']",14883.0,2014-06-13T21:19:18Z,Apache License 2.0
You-Dont-Need-jQuery,20283,1827,536,181,JavaScript,['JavaScript'],622.0,2015-11-21T16:02:26Z,MIT License
MonitorControl,20281,635,153,228,Swift,"['Swift', 'Objective-C']",229.0,2017-09-16T21:13:40Z,MIT License
v2ray-core,20272,3311,376,859,Go,"['Go', 'Shell', 'Assembly', 'Makefile', 'HTML']",6310.0,2019-04-15T10:05:54Z,MIT License
dapr,20264,1601,429,2988,Go,"['Go', 'Shell', 'Makefile', 'Bicep', 'Java', 'JavaScript', 'Mustache', 'Dockerfile', 'C#', 'Python']",3866.0,2019-06-19T00:49:06Z,Apache License 2.0
generator-jhipster,20263,3918,743,13620,TypeScript,"['TypeScript', 'JavaScript', 'Java', 'EJS', 'Vue', 'Shell', 'SCSS', 'CSS', 'Dockerfile', 'Mustache']",42699.0,2013-10-21T20:07:22Z,Apache License 2.0
mxnet,20241,6876,1089,11104,C++,"['C++', 'Python', 'Jupyter Notebook', 'Cuda', 'CMake', 'Shell', 'C', 'Groovy', 'Dockerfile', 'Cython']",11895.0,2015-04-30T16:21:15Z,Apache License 2.0
android-best-practices,20228,3436,1481,109,,,247.0,2014-07-29T09:09:44Z,Other
bluebird,20226,2423,351,550,JavaScript,"['JavaScript', 'CSS', 'Shell', 'HTML']",2112.0,2013-09-07T19:39:57Z,MIT License
pocketbase,20225,769,138,95,Go,"['Go', 'Svelte', 'SCSS', 'JavaScript', 'HTML', 'Shell', 'Makefile']",414.0,2022-07-05T06:06:21Z,MIT License
fish-shell,20223,1651,278,2806,C++,"['C++', 'Shell', 'Python', 'CMake', 'JavaScript', 'HTML', 'CSS', 'Dockerfile', 'Objective-C', 'Makefile']",16689.0,2012-05-10T03:00:55Z,Other
ava,20203,1467,229,1370,JavaScript,"['JavaScript', 'TypeScript']",1958.0,2014-11-18T17:20:26Z,MIT License
jenkins,20176,7844,868,7558,Java,"['Java', 'HTML', 'JavaScript', 'CSS', 'Less', 'Groovy', 'Ruby', 'Perl', 'Handlebars', 'Python']",33312.0,2010-11-22T21:21:23Z,MIT License
HowToLiveLonger,20141,1328,185,22,,,58.0,2022-04-16T04:15:18Z,The Unlicense
bazel,20140,3639,611,5981,Java,"['Java', 'Python', 'Shell', 'C++', 'C', 'Smarty', 'HTML', 'Starlark', 'PowerShell', 'Objective-C']",34656.0,2014-06-12T16:00:38Z,Apache License 2.0
How-to-Make-a-Computer-Operating-System,20138,3398,1586,95,C,"['C', 'C++', 'Assembly', 'Makefile', 'Ruby', 'Shell']",243.0,2013-11-29T17:36:32Z,Apache License 2.0
awesome-deep-learning,20135,5765,1232,205,,,533.0,2015-01-02T19:28:35Z,
forem,20133,3587,358,13128,Ruby,"['Ruby', 'JavaScript', 'HTML', 'SCSS', 'CSS', 'Shell', 'VCL', 'Dockerfile', 'Procfile']",12304.0,2016-11-13T23:02:13Z,GNU Affero General Public License v3.0
